Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2057,-916.534,-1861,-,-
Acquisitions net,-,-,213.185,-,-
Purchases of investments,-,-,-,-,-3000
Other investing activites,-,-,-196.628,-,-
Net cash used for investing activites,-2156,-916.534,-1844,-,-3000
Debt repayment,-,-156.937,-472.136,-1000,-860
Common stock issued,-,7136,6755,-,5984
Common stock repurchased,-,-88.14,-363,-,-396.502
Other financing activites,-,-10.709,-11.871,3315,1151
Net cash used privided by (used for) financing activities,-,7137,6921,2315,5879
Net change in cash,265.956,2683,1606,143.641,7.411
Cash at beginning of period,974.725,2727,1122,626.518,619.107
Cash at end of period,1241,5410,2727,770.159,626.518
Capital Expenditure,-2057,-916.534,-1861,-,-
Free Cash Flow,-6729,-4454,-5331,-2171,-2872
