Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,89185,89185,83426,74490,77625
Interest Expense,32184,32184,23933,15202,14789
Income Before Tax,24499,24499,17654,14231,17065
Income Tax Expense,1175,1175,1351,2326,2156
Income from Continuing Operations,23324,23324,16303,11905,14909
Net Income,23324,23324,16303,11905,14909
Net Income available to common shareholders,22822,22822,16303,11743,14690
Basic EPS,-,-,1.86,1.36,1.71
Diluted EPS,-,-,1.86,1.36,1.71
Basic Average Shares,-,-,8640,8613,8574
Diluted Average Shares,-,-,8640,8613,8574
