Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,-22401000,4948000,5366000,4744000
Depreciation & amortization,-,8811000,8897000,8794000
Change in working capital,-,-4456000,-444000,-2684000
Inventory,-,-4185000,-1979000,1246000
Other working capital,-,-6584000,3770000,-1781000
Other non-cash items,-,-1415000,-1682000,4920000
Net cash provided by operating activites,-,4635000,13228000,6844000
Investments in property plant and equipment,-,-11219000,-9458000,-8625000
Acquisitions net,-,-20000,-,-5127000
Purchases of investments,-,-10137000,-6302000,-4205000
Sales/Maturities of investments,-,9443000,4864000,14471000
Other investing activites,-,-3212000,-2795000,934000
Net cash used for investing activites,-,-10305000,-7299000,25270000
Net change in cash,-,5587000,-373000,-2306000
Cash at beginning of period,-,25649000,26023000,28329000
Cash at end of period,-,31237000,25649000,26023000
Operating Cash Flow,-,4635000,13228000,6844000
Capital Expenditure,-,-11219000,-9458000,-8625000
Free Cash Flow,-,-6584000,3770000,-1781000
