Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net change in cash,-114600,-24600,267000,-30900
Cash at beginning of period,123000,282000,17100,47500
Cash at end of period,8000,256800,282000,17100
Free Cash Flow,-235200,46200,878300,-438700
