Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-81.506,-63.667,-171.402,-3.92,-
Acquisitions net,-,-108.698,-,38.596,-
Net cash used for investing activites,-97.039,-172.365,-171.402,34.676,-
Common stock issued,-,-,1349,3089,43.743
Common stock repurchased,-,-,-,-184.662,-
Net cash used privided by (used for) financing activities,-,-,1349,2905,43.743
Net change in cash,-557.324,-1563,-678.155,2515,392.595
Cash at beginning of period,2650,3310,3876,1354,958.469
Cash at end of period,2093,1768,3310,3876,1354
Capital Expenditure,-81.506,-63.667,-171.402,-3.92,-
Free Cash Flow,-541.791,-1454,-2027,-427.968,348.852
