Breakdown,ttm,3/31/2019
Net Income,26727,19864
Change in working capital,-1509,-2938
Other working capital,31222,23335
Other non-cash items,5570,9570
Net cash provided by operating activites,31222,23335
Acquisitions net,-,-25470
Purchases of investments,-132696,-267908
Other investing activites,-13781,-13535
Net cash used for investing activites,-167611,-302577
Net change in cash,-48667,-196197
Cash at beginning of period,96121,243325
Cash at end of period,47454,47128
Operating Cash Flow,31222,23335
Free Cash Flow,31222,23335
