Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,-998697,28964,1425381,1266141
Depreciation & amortization,-,1241368,557959,202092
Change in working capital,-,-1161726,-99194,-595333
Inventory,-,-201073,-161011,-40315
Other working capital,-,300046,2004685,1222330
Other non-cash items,-,-578683,386688,292371
Net cash provided by operating activites,-,816076,2801964,1503742
Investments in property plant and equipment,-,-516030,-797279,-281412
Acquisitions net,-,-2649369,-2343425,-315482
Purchases of investments,-,-2627944,-2451902,-1457771
Sales/Maturities of investments,-,1377551,1077040,651558
Other investing activites,-,-57705,-31930,-231592
Net cash used for investing activites,-,-4941335,-4611342,-1206430
Net change in cash,-,1717481,263425,1194218
Cash at beginning of period,-,4320804,4057379,2846306
Cash at end of period,-,6038286,4320804,4057379
Operating Cash Flow,-,816076,2801964,1503742
Capital Expenditure,-,-516030,-797279,-281412
Free Cash Flow,-,300046,2004685,1222330
