Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,726529,726529,712623,678833,493621
Interest Expense,184640,184640,129070,74809,45010
Income Before Tax,324439,324439,327165,284827,222658
Income Tax Expense,64340,64340,70823,134246,75575
Income from Continuing Operations,260099,260099,256342,150581,147083
Net Income,260099,260099,256342,150581,147083
Net Income available to common shareholders,259504,259504,256342,150581,146827
Basic EPS,-,-,2.46,1.54,2.00
Diluted EPS,-,-,2.45,1.54,1.99
Basic Average Shares,-,-,104016,97503,73532
Diluted Average Shares,-,-,104299,97890,73893
