Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,132352,160979,138824,122112
Liabilities,,,,
Total Liabilities,14557,30504,19523,8282
Stockholders' Equity,,,,
Common Stock,101333,102344,103246,105227
Retained Earnings,18504,29470,15893,8160
Accumulated other comprehensive income,3846,2647,2217,1159
Total stockholders' equity,123683,134461,121357,114546
Total liabilities and stockholders' equity,132352,160979,138824,122112
