Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2406334,2184294,2123529,1665981
Liabilities,,,,
Total Liabilities,2073972,1894132,1866111,1437464
Stockholders' Equity,,,,
Common Stock,189,187,185,178
Retained Earnings,242878,207779,174804,160692
Accumulated other comprehensive income,1382,-4112,-2103,-1010
Total stockholders' equity,332362,290162,257418,228517
Total liabilities and stockholders' equity,2406334,2184294,2123529,1665981
