Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,1498287,1479670,1398067
Liabilities,,,
Total Liabilities,285668,273624,277427
Stockholders' Equity,,,
Common Stock,539872,539872,539872
Total stockholders' equity,1212619,1206046,1120640
Total liabilities and stockholders' equity,1498287,1479670,1398067
