Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,128784000,133773000,135328000,130876000
Selling General and Administrative,57135000,59111000,60969000,61672000
Total Operating Expenses,87802000,89838000,90598000,88959000
Interest Expense,6759000,7190000,7594000,5786000
Income Before Tax,32380000,35308000,41384000,36247000
Income Tax Expense,10117000,11706000,12628000,9867000
Income from Continuing Operations,22263000,23602000,28756000,26380000
Net Income,22161000,23321000,28366000,26304000
Net Income available to common shareholders,22161000,23321000,28366000,26304000
Basic EPS,-,54.12,65.27,59.46
Diluted EPS,-,54.00,65.14,59.36
Basic Average Shares,-,430936,434578,442392
Diluted Average Shares,-,431870,435462,443127
