Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-119570,-106947,-615620,-595841,-205948
Sales/Maturities of investments,189246,134207,641909,655339,73291
Net cash used for investing activites,69676,27260,26289,59498,-132658
Common stock issued,-,-,-,-,28596
Common stock repurchased,-,-,-,-,-378.75
Dividends Paid,-11410,-11383,-10868,-9487,-4650
Net cash used privided by (used for) financing activities,-11410,-11383,-10868,-9487,23568
Net change in cash,51233,10121,14249,46496,-114515
Cash at beginning of period,-75558,-39067,-53538,-97053,54780
Cash at end of period,-24325,-27777,-39067,-53538,-58113
Free Cash Flow,-7034,-5756,-1171,-3514,-5425
