Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1810000,1900000,1827000,477000
Depreciation & amortization,-,1884000,1675000,1548000
Change in working capital,-,-2030000,-427000,385000
Inventory,-,-1238000,-236000,462000
Other working capital,-,761000,2451000,743000
Other non-cash items,-,166000,1452000,-316000
Net cash provided by operating activites,-,2237000,4112000,2339000
Investments in property plant and equipment,-,-1476000,-1661000,-1596000
Acquisitions net,-,-4000,-26000,-
Purchases of investments,-,-622000,-1000,-1000
Sales/Maturities of investments,-,624000,0,138000
Other investing activites,-,2000,87000,-32000
Net cash used for investing activites,-,-1454000,-1516000,-1454000
Net change in cash,-,335000,1121000,846000
Cash at beginning of period,-,7191000,6070000,5224000
Cash at end of period,-,7527000,7191000,6070000
Operating Cash Flow,-,2237000,4112000,2339000
Capital Expenditure,-,-1476000,-1661000,-1596000
Free Cash Flow,-,761000,2451000,743000
