Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-33.292,-1.09,-33.375,-627.473
Purchases of investments,-2726,-2563,-327.323,-474.086,-264.034
Sales/Maturities of investments,-,29.406,-,-,550.406
Other investing activites,1869,-0.71,-0.001,536.528,-0.001
Net cash used for investing activites,-859.941,-2567,-328.414,29.067,-340.529
Debt repayment,-,-,-,1191,-
Common stock issued,-,78,-,-,-
Other financing activites,-,-18,-162.96,-35.89,-
Net cash used privided by (used for) financing activities,-,60,-162.96,1155,-
Net change in cash,391.675,-1572,290.705,1036,-950.431
Cash at beginning of period,1277,2777,2486,1467,3836
Cash at end of period,1668,1205,2777,2502,2885
Capital Expenditure,-,-33.292,-1.09,-33.375,-627.473
Free Cash Flow,1155,901.535,780.989,-182.13,-1237
