Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3052000,3246000,4681000,2346000
Depreciation & amortization,-,178000,150000,105000
Change in working capital,-,-581000,341000,-109000
Other working capital,-,410000,6645000,1535000
Other non-cash items,-,-319000,374000,265000
Net cash provided by operating activites,-,678000,7144000,1972000
Investments in property plant and equipment,-,-268000,-499000,-437000
Acquisitions net,-,-,-,-663000
Purchases of investments,-,-1439000,-2423000,-1649000
Sales/Maturities of investments,-,603000,791000,968000
Other investing activites,-,-10000,29000,72000
Net cash used for investing activites,-,-709000,-2050000,-1658000
Net change in cash,-,-1497000,4189000,1388000
Cash at beginning of period,-,18649000,14459000,13070000
Cash at end of period,-,17152000,18649000,14459000
Operating Cash Flow,-,678000,7144000,1972000
Capital Expenditure,-,-268000,-499000,-437000
Free Cash Flow,-,410000,6645000,1535000
