Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1473,-3475,-6442,-5726,-8033
Acquisitions net,-,-,297,-23509,-
Purchases of investments,-,-,-,-,-1500
Sales/Maturities of investments,-,600,-,-,-
Net cash used for investing activites,-3483,-817,-6145,-29235,-9533
Debt repayment,-,-4000,-14439,-2608,-1972
Common stock issued,-,1114,30241,25732,-
Dividends Paid,-,-,-2666,-3877,-3071
Other financing activites,-,800,-1000,-,-
Net cash used privided by (used for) financing activities,11954,6328,5920,30907,2564
Net change in cash,-4485,-7827,-3822,14424,-1837
Cash at beginning of period,6202,11508,15330,906,2743
Cash at end of period,1717,3460,11130,15330,906
Capital Expenditure,-1473,-3475,-6442,-5726,-8033
Free Cash Flow,-14429,-16813,-10039,7026,-2901
