Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-6536,-6536,-6559,-6603,-8203
Acquisitions net,-,-,-,-425,-2619
Net cash used for investing activites,-6536,-6536,-6559,-7028,-10822
Debt repayment,-21500,-21500,-19300,-20000,-16810
Dividends Paid,-13192,-13192,-18597,-20714,-18125
Other financing activites,-330,-330,436,-,-393
Net cash used privided by (used for) financing activities,-26114,-26114,-19260,-23590,-34825
Net change in cash,443,443,111,-4709,-1485
Cash at beginning of period,3853,3853,3502,8472,9989
Cash at end of period,4281,4281,3853,3502,8472
Capital Expenditure,-6536,-6536,-6559,-6603,-8203
Free Cash Flow,26557,26557,19371,19306,35959
