Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-69833,-86732,-37824,-9518
Other investing activites,-,-,-,8
Net cash used for investing activites,-69830,-86732,-37815,-9510
Debt repayment,-7895,-18507,-5819,-5773
Common stock issued,-,21994,-,23414
Dividends Paid,-,-,-,-223
Other financing activites,-,-1454,-,-
Net cash used privided by (used for) financing activities,55527,79761,13626,21065
Net change in cash,-10691,5299,-17297,16772
Cash at beginning of period,11505,1994,19291,2519
Cash at end of period,814,7293,1994,19291
Capital Expenditure,-69833,-86732,-37824,-9518
Free Cash Flow,-66221,-74462,-30932,-4301
