Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,859470,763921,334567
Liabilities,,,
Total Liabilities,209470,369967,72481
Stockholders' Equity,,,
Common Stock,6306,3800,2700
Retained Earnings,58089,40992,-2572
Total stockholders' equity,650000,393954,262086
Total liabilities and stockholders' equity,859470,763921,334567
