Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2351541,2227377,2234908,2124769
Depreciation & amortization,-,524052,555878,533548
Change in working capital,-,151604,388382,-749355
Inventory,-,-277543,-44943,-83273
Other working capital,-,2357487,2308107,1319750
Other non-cash items,-,-71574,-40397,455780
Net cash provided by operating activites,-,2636351,2763698,1774457
Investments in property plant and equipment,-,-278864,-455591,-454707
Acquisitions net,-,-132802,-44826,-
Purchases of investments,-,-657265,-4873,-6431
Sales/Maturities of investments,-,147027,22450,435257
Other investing activites,-,1,-575,57193
Net cash used for investing activites,-,-877858,-469039,89855
Net change in cash,-,757838,1389614,1044481
Cash at beginning of period,-,5640433,4250818,3206337
Cash at end of period,-,6398272,5640433,4250818
Operating Cash Flow,-,2636351,2763698,1774457
Capital Expenditure,-,-278864,-455591,-454707
Free Cash Flow,-,2357487,2308107,1319750
