Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,216834,281356,245691,567082
Depreciation & amortization,-,476594,517830,551808
Change in working capital,-,270842,-265612,58418
Inventory,-,56812,9901,-20117
Other working capital,-,873190,169197,1591323
Other non-cash items,-,-87242,-58709,89213
Net cash provided by operating activites,-,1283418,477705,1730347
Investments in property plant and equipment,-,-410228,-308508,-139024
Acquisitions net,-,-21910,-24294,-
Purchases of investments,-,-1249230,-,-
Sales/Maturities of investments,-,1283000,153000,1200000
Other investing activites,-,70884,-223687,-949312
Net cash used for investing activites,-,-417542,124993,-38511
Net change in cash,-,175155,26512,520716
Cash at beginning of period,-,1686284,1659771,1139055
Cash at end of period,-,1861440,1686284,1659771
Operating Cash Flow,-,1283418,477705,1730347
Capital Expenditure,-,-410228,-308508,-139024
Free Cash Flow,-,873190,169197,1591323
