Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,679642,1900642,868259,-1376813
Depreciation & amortization,-,1170687,1129864,1242510
Change in working capital,-,447751,-1548234,-960210
Inventory,-,922546,-1024109,194181
Other working capital,-,1947612,-397732,202624
Other non-cash items,-,-323083,223362,150603
Net cash provided by operating activites,-,3480366,992093,1200201
Investments in property plant and equipment,-,-1532754,-1389825,-997577
Acquisitions net,-,-177041,-329148,-
Purchases of investments,-,-,-55518,-
Sales/Maturities of investments,-,11527,245225,13416
Other investing activites,-,157908,-548387,-210940
Net cash used for investing activites,-,-1304472,-2075388,-1206453
Net change in cash,-,1345374,-502784,-456278
Cash at beginning of period,-,5075733,5578517,6034795
Cash at end of period,-,6421107,5075733,5578517
Operating Cash Flow,-,3480366,992093,1200201
Capital Expenditure,-,-1532754,-1389825,-997577
Free Cash Flow,-,1947612,-397732,202624
