Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,883323,1178977,1499849
Liabilities,,,
Total Liabilities,28464,3663,268340
Stockholders' Equity,,,
Total stockholders' equity,854859,1175314,1231510
Total liabilities and stockholders' equity,883323,1178977,1499849
