Breakdown,ttm,10/31/2019,10/31/2018,10/31/2017
Total Revenue,81433,81433,17468,124239
Selling General and Administrative,630.629,630.629,692.531,792.603
Total Operating Expenses,663.97,663.97,732.388,826.012
Interest Expense,11884,11884,9757,5005
Income Before Tax,80769,80769,16735,123413
Income from Continuing Operations,80769,80769,16735,123413
Net Income,80769,80769,16735,123413
Net Income available to common shareholders,80769,80769,16735,123413
Basic EPS,-,-,0.24,1.76
Diluted EPS,-,-,0.24,1.76
Basic Average Shares,-,-,69731,70121
Diluted Average Shares,-,-,69731,70121
