Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,3730600,3730600,438000,421600
Depreciation & amortization,226200,226200,229900,220100
Stock based compensation,15400,15400,4300,17700
Change in working capital,-1400,-1400,11600,35000
Inventory,-2100,-2100,-600,-3100
Other working capital,-61600,-61600,101200,16300
Other non-cash items,153200,153200,84900,73900
Net cash provided by operating activites,485700,485700,621000,626100
Investments in property plant and equipment,-547300,-547300,-519800,-609800
Acquisitions net,-,-,-,0
Other investing activites,8900,-,-,192900
Net cash used for investing activites,3261600,3261600,-388600,-410100
Net change in cash,3312900,3312900,27300,4100
Cash at beginning of period,90600,90600,63000,57100
Cash at end of period,3403200,3403200,90600,63000
Operating Cash Flow,485700,485700,621000,626100
Capital Expenditure,-547300,-547300,-519800,-609800
Free Cash Flow,-61600,-61600,101200,16300
