Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1009927,981102,863637,792944
Liabilities,,,,
Total Liabilities,903092,887545,776254,712313
Stockholders' Equity,,,,
Common Stock,30848,29715,28361,27155
Retained Earnings,72385,64937,57218,52095
Accumulated other comprehensive income,3602,-1095,1804,1381
Total stockholders' equity,106835,93557,87383,80631
Total liabilities and stockholders' equity,1009927,981102,863637,792944
