Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1375677,1786905,-654727,1125662
Depreciation & amortization,-,473032,490958,190494
Change in working capital,-,-515132,1812277,865010
Inventory,-,-293256,-367312,-366297
Other working capital,-,1304814,346984,1278260
Other non-cash items,-,116047,87161,43805
Net cash provided by operating activites,-,1916755,850995,1978790
Investments in property plant and equipment,-,-611941,-504011,-700530
Purchases of investments,-,-902911,-5303,-93737
Sales/Maturities of investments,-,697307,-,-
Other investing activites,-,29818,15450,31472
Net cash used for investing activites,-,-787727,-493864,-762795
Net change in cash,-,635755,-145698,705410
Cash at beginning of period,-,3948891,4094590,3389179
Cash at end of period,-,4584647,3948891,4094590
Operating Cash Flow,-,1916755,850995,1978790
Capital Expenditure,-,-611941,-504011,-700530
Free Cash Flow,-,1304814,346984,1278260
