Breakdown,ttm,6/30/2019
Purchases of investments,-,-6069
Other investing activites,-2291,430.93
Net cash used for investing activites,-8029,-3099
Debt repayment,-,-1335
Common stock issued,-,16338
Other financing activites,-,-315.839
Net cash used privided by (used for) financing activities,-,16023
Net change in cash,-10974,8790
Cash at beginning of period,14839,928.242
Cash at end of period,3864,9721
Free Cash Flow,-3209,-4134
