Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,454214000,645423053,667514899,580503393
Liabilities,,,,
Total Liabilities,434545000,623512841,645765369,562407156
Stockholders' Equity,,,,
Common Stock,172000,164958,174331,159161
Retained Earnings,13575000,18026089,16657432,13500308
Total stockholders' equity,19477000,21887372,21740071,18095003
Total liabilities and stockholders' equity,454214000,645423053,667514899,580503393
