Breakdown,6/30/2019,6/30/2018,9/30/2017
Total Assets,1280546,731022,516180
Liabilities,,,
Total Liabilities,6545,3682,0
Stockholders' Equity,,,
Common Stock,1274001,727340,-
Total stockholders' equity,1274001,727340,0
Total liabilities and stockholders' equity,1280546,731022,516180
