Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,15816898,12074102,9493907,7949780
Total Operating Expenses,11721421,9994301,7472850,6526296
Operating Income or Loss,4095477,2079801,2021057,1423484
Income Before Tax,4039310,2045763,1978908,1297106
Income Tax Expense,1571039,709190,685508,449094
Income from Continuing Operations,2468271,1336573,1293400,848012
Net Income,2483795,1345550,1292886,846701
Net Income available to common shareholders,2483795,1345550,1292886,846701
Basic EPS,-,109.66,107.44,69.86
Diluted EPS,-,101.73,99.46,69.86
Basic Average Shares,-,12270,12033,12120
Diluted Average Shares,-,13227,12941,12120
