Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,36000,32000,-79000,58000
Depreciation & amortization,171000,146000,143000,141000
Stock based compensation,2000,3000,8000,5000
Change in working capital,-92000,-9000,-27000,-60000
Inventory,6000,-3000,-17000,21000
Other working capital,45000,89000,-7000,79000
Other non-cash items,-,-,-1000,18000
Net cash provided by operating activites,144000,193000,118000,232000
Investments in property plant and equipment,-99000,-104000,-125000,-153000
Acquisitions net,-9000,-9000,-8000,-10000
Other investing activites,-,-,-,0
Net cash used for investing activites,-106000,-111000,-133000,-143000
Net change in cash,-25000,24000,-7000,40000
Cash at beginning of period,37000,43000,50000,10000
Cash at end of period,13000,67000,43000,50000
Operating Cash Flow,144000,193000,118000,232000
Capital Expenditure,-99000,-104000,-125000,-153000
Free Cash Flow,45000,89000,-7000,79000
