Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1150,-807.277,-1650,-1992,-2035
Net cash used for investing activites,-1150,-807.277,-1590,-1992,-2035
Debt repayment,-,-500,-1000,-,-
Common stock issued,-,-,5544,222,4000
Common stock repurchased,-,-,-95,-2,-267
Net cash used privided by (used for) financing activities,6114,4000,5449,4220,3733
Net change in cash,670.318,-480.953,320,-5414,414
Cash at beginning of period,440.913,1003,669,6102,5688
Cash at end of period,1111,535.269,1003,669,6102
Capital Expenditure,-1150,-807.277,-1650,-1992,-2035
Free Cash Flow,-5443,-4481,-5189,-9634,-3319
