Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1320069,1318040,985367,983520
Liabilities,,,,
Total Liabilities,1158150,1165971,903967,904911
Stockholders' Equity,,,,
Common Stock,129564,129066,61981,61583
Retained Earnings,31740,23466,19711,17206
Accumulated other comprehensive income,615,-463,-292,-180
Total stockholders' equity,161919,152069,81400,78609
Total liabilities and stockholders' equity,1320069,1318040,985367,983520
