Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017
Total Revenue,36617,36617,7747,15030
Selling General and Administrative,788,788,989,837
Total Operating Expenses,788,788,989,837
Interest Expense,180,180,222,84
Income Before Tax,35829,35829,6758,14193
Income Tax Expense,769,769,626,771
Income from Continuing Operations,35060,35060,6132,13422
Net Income,35060,35060,6132,13422
Net Income available to common shareholders,35060,35060,6132,13422
Basic EPS,-,-,0.07,0.15
Diluted EPS,-,-,0.07,0.15
Basic Average Shares,-,-,91872,91872
Diluted Average Shares,-,-,91872,91872
