Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Common stock issued,-,-,730,48013
Common stock repurchased,-1634,-1152,-46,-
Net cash used privided by (used for) financing activities,-1634,-1152,684,48013
Net change in cash,-5615,5396,-17097,2642
Cash at beginning of period,-17158,-16804,3259,-
Cash at end of period,-22773,-9977,-16804,3259
Free Cash Flow,-3981,6548,-17781,-45371
