Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6821000,6646000,5988000,5948000
Depreciation & amortization,-,5332000,5331000,5160000
Change in working capital,-,-346000,-814000,-179000
Inventory,-,-128000,-141000,-228000
Other working capital,-,8670000,7925000,7074000
Other non-cash items,-,-3000,683000,203000
Net cash provided by operating activites,-,12507000,12079000,11307000
Investments in property plant and equipment,-,-3837000,-4154000,-4233000
Purchases of investments,-,-4296000,-4314000,-5432000
Sales/Maturities of investments,-,4242000,4825000,4384000
Other investing activites,-,-49000,78000,29000
Net cash used for investing activites,-,-3940000,-3538000,-5239000
Net change in cash,-,5525000,5556000,3211000
Cash at beginning of period,-,43679000,38122000,34910000
Cash at end of period,-,49204000,43679000,38122000
Operating Cash Flow,-,12507000,12079000,11307000
Capital Expenditure,-,-3837000,-4154000,-4233000
Free Cash Flow,-,8670000,7925000,7074000
