Breakdown,ttm,6/30/2019,6/30/2018,4/30/2016
Total Revenue,-15441,99720,111361,-
Income Before Tax,-27750,90095,100462,-
Income Tax Expense,-14368,18585,25902,-
Income from Continuing Operations,-13382,71510,74560,-
Net Income,-13382,71510,74560,-
Net Income available to common shareholders,-13382,71510,74560,-
Basic EPS,-,0.09,0.12,-
Diluted EPS,-,0.09,0.12,-
Basic Average Shares,-,782048,596822,358464
Diluted Average Shares,-,782048,596822,358464
