Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1207,-1384,-908.097,-1307,-1445
Purchases of investments,-,-,-,-,-647.077
Net cash used for investing activites,-1207,-1384,676.343,-1307,-2070
Debt repayment,-,-140,-850,-470,-920
Common stock issued,-,8095,-,1500,-
Common stock repurchased,-,-,-,-90,-36
Net cash used privided by (used for) financing activities,-,8095,200,1483,69
Net change in cash,-376.051,4215,-1672,-678.959,-3803
Cash at beginning of period,2765,98.125,1770,2449,6252
Cash at end of period,2389,4314,98.125,1770,2449
Capital Expenditure,-1207,-1384,-908.097,-1307,-1445
Free Cash Flow,-4037,-3880,-3456,-2161,-3247
