Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1666084,1553333,1958995,2269838
Depreciation & amortization,-,839636,919614,944983
Change in working capital,-,-13220,1691772,1739615
Inventory,-,482939,-21815,24273
Other working capital,-,1897255,4526408,3283120
Other non-cash items,-,44036,56285,128609
Net cash provided by operating activites,-,2563792,5045352,4292858
Investments in property plant and equipment,-,-666537,-518944,-1009738
Acquisitions net,-,-32500,-,-
Sales/Maturities of investments,-,766,157116,-
Other investing activites,-,-23318,64503,-81105
Net cash used for investing activites,-,-721589,-297226,-1090843
Net change in cash,-,-1055162,2871771,2971981
Cash at beginning of period,-,10597844,7726073,4754092
Cash at end of period,-,9542682,10597844,7726073
Operating Cash Flow,-,2563792,5045352,4292858
Capital Expenditure,-,-666537,-518944,-1009738
Free Cash Flow,-,1897255,4526408,3283120
