Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4445052,3730903,2877274,2616406
Depreciation & amortization,-,956032,562453,531259
Change in working capital,-,-684671,265054,-121254
Inventory,-,-363385,-145626,102716
Other working capital,-,-42647,323854,2596585
Other non-cash items,-,171163,-286665,368438
Net cash provided by operating activites,-,4105807,3392595,3819818
Investments in property plant and equipment,-,-4148454,-3068741,-1223233
Purchases of investments,-,-386711,-1121218,-560681
Sales/Maturities of investments,-,1274446,1054166,230294
Other investing activites,-,-234322,-35312,10282
Net cash used for investing activites,-,-3311597,-3255117,-1589282
Net change in cash,-,9750936,54472,811894
Cash at beginning of period,-,6290363,6235891,5423997
Cash at end of period,-,16041300,6290363,6235891
Operating Cash Flow,-,4105807,3392595,3819818
Capital Expenditure,-,-4148454,-3068741,-1223233
Free Cash Flow,-,-42647,323854,2596585
