Breakdown,12/31/2019,12/31/2018,12/31/2017,6/30/2016
Total Assets,510596,450410,434926,-
Liabilities,,,,
Total Liabilities,15970,2641,10993,-
Stockholders' Equity,,,,
Common Stock,439199,437037,383451,248036
Retained Earnings,-3781,-3781,-3781,-3781
Accumulated other comprehensive income,59208,14513,44263,19287
Total stockholders' equity,494626,447769,423933,263542
Total liabilities and stockholders' equity,510596,450410,434926,-
