Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,39496,39496,27903,27793,26363
Interest Expense,7398,7398,4588,2110,1606
Income Before Tax,3546,3546,-2055,-2569,476
Income Tax Expense,118,118,31,-443,13
Income from Continuing Operations,3428,3428,-2086,-2126,463
Net Income,3428,3428,-2086,-2126,463
Net Income available to common shareholders,3428,3428,-2086,-2126,463
Basic EPS,-,-,-0.37,-0.39,0.08
Diluted EPS,-,-,-0.37,-0.39,0.08
Basic Average Shares,-,-,5571,5469,5869
Diluted Average Shares,-,-,5571,5469,5869
