Breakdown,ttm,7/31/2019,7/31/2018,7/31/2017,7/31/2016
Net Income,449654,-286112,662186,967555,981723
Depreciation & amortization,1425112,1526756,1387057,1093376,948442
Change in working capital,339571,6172,729547,1012058,311153
Inventory,25822,20437,-21008,-20553,-28050
Other working capital,3468258,962424,70380,926699,260470
Other non-cash items,186427,159114,117149,858,60520
Net cash provided by operating activites,3822888,2171569,3306540,3000563,2412451
Investments in property plant and equipment,-354630,-1209145,-3236160,-2073864,-2151981
Acquisitions net,-30155,-37213,-97300,-,-
Purchases of investments,-,-,-,-18326,-19238
Sales/Maturities of investments,-,-,-,12614,9301
Other investing activites,-60500,-84708,-274539,-331292,-326086
Net cash used for investing activites,-445285,-1331066,-3460791,-2394338,-2476004
Net change in cash,1718338,-303402,-241606,1087135,-1085535
Cash at beginning of period,3282705,4494146,4735753,3648617,4734153
Cash at end of period,5001045,4190744,4494146,4735753,3648617
Operating Cash Flow,3822888,2171569,3306540,3000563,2412451
Capital Expenditure,-354630,-1209145,-3236160,-2073864,-2151981
Free Cash Flow,3468258,962424,70380,926699,260470
