Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-83.423,-151.49,-192.062
Purchases of investments,-,-211.675,-173.475
Other investing activites,-,-6.046,-
Net cash used for investing activites,41.263,-197.211,-365.537
Debt repayment,-2949,-2087,-4269
Common stock issued,-,-,10026
Common stock repurchased,-,-17.506,-1262
Net cash used privided by (used for) financing activities,-2904,-2087,6572
Net change in cash,-738.19,-1673,2147
Cash at beginning of period,1488,2611,464.033
Cash at end of period,749.994,938.804,2611
Capital Expenditure,-83.423,-151.49,-192.062
Free Cash Flow,2041,459.914,-4251
