Breakdown,ttm,6/30/2019
Total Revenue,124987,124987
Gross Profit,124987,124987
Selling General and Administrative,68625,68625
Total Operating Expenses,120758,120758
Operating Income or Loss,4229,4229
Interest Expense,26530,26530
Total Other Income/Expenses Net,-1767,-1767
Income Before Tax,-23304,-23304
Income Tax Expense,1417,1417
Income from Continuing Operations,-24721,-24721
Net Income,-24721,-24721
Net Income available to common shareholders,-24721,-24721
Basic EPS,-,-0.22
Diluted EPS,-,-0.22
Basic Average Shares,-,114727
Diluted Average Shares,-,114727
