Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-2364,-4060,-3895,-3933
Other investing activites,-,-,-,-260176
Net cash used for investing activites,-2364,-4060,47354,-242924
Debt repayment,-160867,-173561,-181612,-87743
Dividends Paid,-,-,-3787,-12392
Net cash used privided by (used for) financing activities,21534,19337,4059,66198
Net change in cash,19863,2400,13546,632
Cash at beginning of period,25761,28227,14681,14049
Cash at end of period,45624,30627,28227,14681
Capital Expenditure,-2364,-4060,-3895,-3933
Free Cash Flow,-1671,-16937,-41762,173425
