Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,68759,68759,61090,60332,56803
Interest Expense,29966,29966,21366,14393,10140
Income Before Tax,17897,17897,17675,19150,21257
Income Tax Expense,3656,3656,3462,7399,7164
Income from Continuing Operations,14241,14241,14213,11751,14093
Net Income,14241,14241,14213,11751,14093
Net Income available to common shareholders,14241,14241,14213,11751,14093
Basic EPS,-,-,1.46,1.25,1.53
Diluted EPS,-,-,1.46,1.25,1.53
Basic Average Shares,-,-,9688,9469,9207
Diluted Average Shares,-,-,9688,9469,9207
