Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,207562000,256491000,196410000,113381000
Depreciation & amortization,130571000,131464000,133910000,104295000
Change in working capital,-121781000,-234282000,-206363000,-29185000
Inventory,-68417000,-99507000,-94154000,7474000
Other working capital,73415000,10498000,-6533000,105512000
Net cash provided by operating activites,260163000,202548000,148394000,256126000
Investments in property plant and equipment,-186748000,-192050000,-154927000,-150614000
Acquisitions net,-21656000,-8035000,-300321000,-7289000
Purchases of investments,-492000,-342000,-730000,-361000
Sales/Maturities of investments,989000,1960000,63004000,611000
Other investing activites,-79000,-112000,-,-
Net cash used for investing activites,-194297000,-187204000,-377745000,-133299000
Net change in cash,35431000,4082000,24496000,13642000
Cash at beginning of period,148215000,144397000,119901000,106259000
Cash at end of period,185947000,148479000,144397000,119901000
Operating Cash Flow,260163000,202548000,148394000,256126000
Capital Expenditure,-186748000,-192050000,-154927000,-150614000
Free Cash Flow,73415000,10498000,-6533000,105512000
