Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,-67271,-74246,-231044,72453
Depreciation & amortization,-,221921,263609,297516
Change in working capital,-,24293,-288987,137983
Inventory,-,-211893,187916,76764
Other working capital,-,31423,1391888,485979
Other non-cash items,-,-21715,1425732,378119
Net cash provided by operating activites,-,134034,1436858,843603
Investments in property plant and equipment,-,-102611,-44970,-357624
Acquisitions net,-,-,-15654,-
Purchases of investments,-,-8491,-374603,-387218
Sales/Maturities of investments,-,-,502237,114013
Other investing activites,-,-28598,-26744,-22316
Net cash used for investing activites,-,332976,64985,-654309
Net change in cash,-,41518,-72787,-101811
Cash at beginning of period,-,2997135,3069923,3171734
Cash at end of period,-,3038653,2997135,3069923
Operating Cash Flow,-,134034,1436858,843603
Capital Expenditure,-,-102611,-44970,-357624
Free Cash Flow,-,31423,1391888,485979
