Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,612066,544671,570660,1423044
Depreciation & amortization,-,1284002,1022393,1073657
Change in working capital,-,-20224,344768,-344838
Inventory,-,-34233,-7056,54930
Other working capital,-,994861,929348,814797
Other non-cash items,-,92771,-165529,8402
Net cash provided by operating activites,-,1988661,1656586,1438196
Investments in property plant and equipment,-,-993800,-727238,-623399
Purchases of investments,-,-240,-2500,-70952
Sales/Maturities of investments,-,-,20000,2000
Other investing activites,-,-57651,-275,13890
Net cash used for investing activites,-,-1051691,-710013,-678322
Net change in cash,-,257057,494726,191282
Cash at beginning of period,-,3359995,2865269,2673987
Cash at end of period,-,3617053,3359995,2865269
Operating Cash Flow,-,1988661,1656586,1438196
Capital Expenditure,-,-993800,-727238,-623399
Free Cash Flow,-,994861,929348,814797
