Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-1.937,-,-
Acquisitions net,-,-,-,20.589,-
Other investing activites,-,-,-,-,-500
Net cash used for investing activites,-,-,-1.937,20.589,-500
Common stock issued,-,3000,2082,244.016,5688
Common stock repurchased,-,-160.956,-,-213.694,-195.269
Net cash used privided by (used for) financing activities,200,2839,2082,30.322,5493
Net change in cash,-2137,-404.021,-959.617,-2448,4164
Cash at beginning of period,2345,1079,2038,4486,322.138
Cash at end of period,208.389,674.542,1079,2038,4486
Capital Expenditure,-,-,-1.937,-,-
Free Cash Flow,-2366,-3243,-3042,-2499,-829.021
