Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4547000,-2252000,501000,-1488000
Depreciation & amortization,-,1971000,2305000,2748000
Change in working capital,-,210000,1609000,3186000
Inventory,-,-2147000,-409000,1389000
Other working capital,-,2875000,4185000,4052000
Other non-cash items,-,408000,180000,168000
Net cash provided by operating activites,-,3656000,5176000,6034000
Investments in property plant and equipment,-,-781000,-991000,-1982000
Acquisitions net,-,-,-,-1317000
Sales/Maturities of investments,-,38000,156000,-
Other investing activites,-,-21000,27000,-24000
Net cash used for investing activites,-,-763000,-803000,-3320000
Net change in cash,-,-507000,2538000,1103000
Cash at beginning of period,-,10599000,8061000,6957000
Cash at end of period,-,10091000,10599000,8061000
Operating Cash Flow,-,3656000,5176000,6034000
Capital Expenditure,-,-781000,-991000,-1982000
Free Cash Flow,-,2875000,4185000,4052000
