Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,14542356,14137331,13692563,12906062
Liabilities,,,,
Total Liabilities,12845602,12378927,12002604,11245604
Stockholders' Equity,,,,
Common Stock,3323,3323,3323,3323
Retained Earnings,837662,807890,760070,698930
Accumulated other comprehensive income,-69379,23222,-7492,-19626
Total stockholders' equity,1696754,1758404,1689959,1660458
Total liabilities and stockholders' equity,14542356,14137331,13692563,12906062
