Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3437000,3765000,4225000,3078000
Depreciation & amortization,-,1380000,1364000,807000
Change in working capital,-,461902000,-180591000,203861000
Other working capital,-,225676000,-290982000,817494000
Other non-cash items,-,-246114000,-122523000,602798000
Net cash provided by operating activites,-,226351000,-290514000,818189000
Investments in property plant and equipment,-,-675000,-468000,-695000
Purchases of investments,-,-10663000,-8498000,-11216000
Sales/Maturities of investments,-,2681000,4520000,4403000
Other investing activites,-,5000,1000,1000
Net cash used for investing activites,-,-8652000,-4440000,-7507000
Net change in cash,-,213728000,-297681000,808779000
Cash at beginning of period,-,771469000,1069150000,260371000
Cash at end of period,-,985197000,771469000,1069150000
Operating Cash Flow,-,226351000,-290514000,818189000
Capital Expenditure,-,-675000,-468000,-695000
Free Cash Flow,-,225676000,-290982000,817494000
