Breakdown,ttm,3/31/2019
Net Income,-442000,261000
Depreciation & amortization,-,2523000
Change in working capital,-,2222000
Inventory,-,-1458000
Other working capital,-,-1588000
Other non-cash items,-,-152000
Net cash provided by operating activites,-,7605000
Investments in property plant and equipment,-,-9193000
Acquisitions net,-,-1504000
Purchases of investments,-,-418000
Sales/Maturities of investments,-,968000
Other investing activites,-,76000
Net cash used for investing activites,-,-9845000
Net change in cash,-,2384000
Cash at beginning of period,-,5147000
Cash at end of period,-,7528000
Operating Cash Flow,-,7605000
Capital Expenditure,-,-9193000
Free Cash Flow,-,-1588000
