Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,913870,877291,833315,710572
Liabilities,,,,
Total Liabilities,831892,801140,763245,645236
Stockholders' Equity,,,,
Common Stock,42586,42964,42604,41575
Retained Earnings,39470,33328,27441,23790
Accumulated other comprehensive income,-78,-141,25,-29
Total stockholders' equity,81978,76151,70070,65336
Total liabilities and stockholders' equity,913870,877291,833315,710572
