Breakdown,ttm,10/31/2019
Total Revenue,-6474,-6474
Selling General and Administrative,1605,1605
Total Operating Expenses,1384,1384
Interest Expense,982.195,982.195
Income Before Tax,-7859,-7859
Income from Continuing Operations,-7859,-7859
Net Income,-7859,-7859
Net Income available to common shareholders,-7859,-7859
