Breakdown,ttm,12/31/2019
Investments in property plant and equipment,-759.6603,-759.6603
Net cash used for investing activites,-759.6603,-759.6603
Debt repayment,-35.6837,-35.6837
Other financing activites,63095,63095
Net cash used privided by (used for) financing activities,71355,71355
Net change in cash,42164,42164
Cash at beginning of period,10113,10113
Cash at end of period,52276,52276
Capital Expenditure,-759.6603,-759.6603
Free Cash Flow,-29192,-29192
