Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,788493,789852,1061665,1158471
Depreciation & amortization,-,437397,451618,481769
Change in working capital,-,52094,-37103,598358
Inventory,-,-17641,24755,698
Other working capital,-,477622,794686,1492536
Other non-cash items,-,-79788,17256,-131780
Net cash provided by operating activites,-,1359936,1355796,1971609
Investments in property plant and equipment,-,-882314,-561110,-479073
Purchases of investments,-,-767,-864,-848
Sales/Maturities of investments,-,-,65000,186449
Other investing activites,-,-53688,-30784,12302
Net cash used for investing activites,-,-916035,-520558,-209434
Net change in cash,-,280678,200079,1242594
Cash at beginning of period,-,6592071,6391991,6115954
Cash at end of period,-,6872750,6592071,6391991
Operating Cash Flow,-,1359936,1355796,1971609
Capital Expenditure,-,-882314,-561110,-479073
Free Cash Flow,-,477622,794686,1492536
