Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,7253000,7253000,6151000,5729000,5783000
Interest Expense,1457000,1457000,1043000,691000,578000
Income Before Tax,3202000,3202000,2765000,2771000,2065000
Income Tax Expense,690000,690000,572000,577000,505000
Income from Continuing Operations,2512000,2512000,2193000,2194000,1560000
Net Income,2512000,2512000,2193000,2194000,1564000
Net Income available to common shareholders,2398000,2398000,2095000,2096000,1474000
