Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,16804000,14680000,13634000,10158000
Depreciation & amortization,14097000,11847000,12051000,8242000
Change in working capital,15700000,24000,-2967000,1217000
Inventory,12486000,3119000,-3377000,-1123000
Other working capital,39610000,23808000,21371000,15739000
Other non-cash items,2841000,4301000,4396000,2317000
Net cash provided by operating activites,45002000,28789000,25582000,20393000
Investments in property plant and equipment,-5392000,-4981000,-4211000,-4654000
Acquisitions net,-,-,-570000,-
Purchases of investments,-16430000,-8063000,-946000,-
Sales/Maturities of investments,-,-,122000,17000
Other investing activites,-41000,-356000,-457000,-25979000
Net cash used for investing activites,-21049000,-12820000,-1718000,-30616000
Net change in cash,8097000,9769000,4688000,-6490000
Cash at beginning of period,9172000,10963000,6275000,12765000
Cash at end of period,17631000,20733000,10963000,6275000
Operating Cash Flow,45002000,28789000,25582000,20393000
Capital Expenditure,-5392000,-4981000,-4211000,-4654000
Free Cash Flow,39610000,23808000,21371000,15739000
