Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,-628671,-574328,-124153,-143404
Depreciation & amortization,-,385226,25379,7346
Change in working capital,-,-1200216,185390,-123854
Inventory,-,-291,-339,10507
Other working capital,-,-1402275,-533299,-295388
Other non-cash items,-,-350,83303,19392
Net cash provided by operating activites,-,-1395485,67936,-272310
Investments in property plant and equipment,-,-6790,-601235,-23078
Acquisitions net,-,-,-486377,-
Purchases of investments,-,-,-,-59840
Sales/Maturities of investments,-,30000,-,176736
Other investing activites,-,2352,-5032,72707
Net cash used for investing activites,-,26097,-810739,179753
Net change in cash,-,144403,177628,-92557
Cash at beginning of period,-,628262,450633,543190
Cash at end of period,-,772665,628262,450633
Operating Cash Flow,-,-1395485,67936,-272310
Capital Expenditure,-,-6790,-601235,-23078
Free Cash Flow,-,-1402275,-533299,-295388
